id,floor,total_floor,Jatujak,Bangna,Ramintra,Samrong,Laksi,PhayaThai,Sukhumvit42,PhasiCharoen,Thonburi,SamutprakarnCity,BangkokYai,Bangkhae,RamaII,JatujakII,Bangkhen,Suanluang,roomsize,distancetobts,fitness,pool,distancetomall,distancetoexpressway,guard,cctv,keycard,facerecognition,monthlymaintenance_fee,bedroom,restroom,Land_appraisal,construction_year, room_price 
Condo01,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.8,1,0,2.5,15,1,1,1,0,1000,1,1,79090,2556,"1,500,000"
Condo02,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.8,1,1,4,1,1,1,1,0,1200,1,1,111000,2559,"2,400,000"
Condo03,5,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,10,1,1,15,4,1,1,1,0,1200,1,1,120000,2561,"3,000,000"
Condo04,17,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0.1,1,1,0.1,1,1,1,1,1,1000,1,1,100000,2561,"2,700,000"
Condo05,6,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,1,1,1,1,2,1,1,1,1,1200,1,1,140000,2561,"2,800,000"
Condo06,8,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,0.24,1,1,0.15,7.4,1,1,1,0,1360,1,1,200000,2556,"4,480,000"
Condo07,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,0.36,1,1,0.4,1.7,1,1,1,0,1620,1,1,250000,2552,"4,900,000"
Condo08,17,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83,1.3,1,1,3.4,1,1,1,0,0,3320,2,2,84668,2555,"9,900,000"
Condo09,12,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0.35,1,1,1.3,7,0,1,0,0,1850,1,1,128000,2555,"7,900,000"
Condo10,4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.56,4.8,1,1,4.2,18,0,1,0,0,786,1,1,52000,2559,"1,350,000"
Condo11,8,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,1.1,1,1,0.9,7.9,1,1,0,0,1023,1,1,69697,2557,"2,300,000"
Condo12,28,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.5,0.5,1,1,5.9,4.2,0,1,1,0,1305,1,1,94178,2558,"2,750,000"
Condo13,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.46,2.7,1,1,2.9,8.5,1,1,1,0,360,1,1,69697,2555,"1,650,000"
Condo14,2,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,2.2,1,1,2,5.3,1,1,0,0,1215,1,1,69697,2559,"2,900,000"
Condo15,10,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,2.1,1,1,2,5.3,1,1,0,0,1530,1,1,69697,2559,"4,491,000"
Condo16,22,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,2.1,1,1,2,5.3,1,1,0,0,2835,1,1,69697,2559,"6,500,000"
Condo17,11,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34.5,6.7,1,1,1,6.7,1,0,1,0,1250,1,1,83000,2558,"2,900,000"
Condo18,6,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,51,6.7,1,1,1,10,1,0,1,0,1250,2,1,78780,2558,"3,978,400"
Condo19,8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,1,1,1,1.5,13,1,1,1,0,1026,1,1,55556,2553,"1,500,000"
Condo20,5,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.5,1,1,1,1.5,13,1,1,1,0,1159,1,1,64262,2553,"1,960,000"
Condo21,11,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53.75,9.8,1,1,1.7,12.6,1,1,1,0,1000,1,1,1290000,2558,"1,290,000"
Condo22,7,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,20,1,1,0.8,6.4,1,1,1,0,4000,1,1,77000,2562,"1,800,000"
Condo23,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,2,1,1,3,8,1,1,1,0,1000,1,1,120000,2559,"1,800,000"
Condo24,7,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27.8,1.3,1,1,1.5,10.2,1,1,1,0,1529,1,1,103900,2561,"2,890,000"
Condo25,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,1.1,1,1,3.8,4.8,1,1,1,0,1100,3,1,79090,2561,"1,740,000"
Condo26,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0.3,1,1,1.5,5.4,1,1,1,0,1035,1,1,73600,2562,"1,590,000"
Condo27,10,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0.3,1,1,0.1,14.7,1,1,1,0,805,1,1,85000,2559,"2,200,000"
Condo28,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.5,2.3,1,1,0.9,5.1,1,1,1,0,1511,1,1,86000,2562,"1,890,000"
